ID,Course Title,Course Description,Training Company,Course Fee,Course Fee after Maximum Subsidiy,Course Type,Course Duration,Course Hours,No. of Learners,No. of Learners who Rated,Ratings out of 5,Year of Course Introduced
86,Next-Generation Device Regulations(Synchronous e-learning),"This module involves supervised self-study in the field of medical device regulatory science. The work will typically entails the assignment of medical devices developed using novel advanced technologies so that the student will spend the semester to explore the challenges of regulation of such devices and to develop innovative framework requirement for regulatory approval. During the course, the student will be presented with different confronted with scenarios including product design failure, clinical trials mishaps, IP issues, manufacturing non-compliance. These scenarios present to the student real-life case studies that challenges the student ability to solve/remedy the problems. Depending on the nature of the independent study, the student will develop appropriate skills in critical evaluation of various regulatory pathways, considering the various compounding factors like regulatory requirements from different countries, the clinical evaluation requirements, testings standards, reimbursement models, pre-market submission, post market survellience etc.",National University Of Singapore,5400,1620,Part time,6 days - 1 month,39,,,,2019
87,NSA - Learn to Uke for Stress Relief,For beginners to learn to use simple chords on a ukulele that will enable them to sing popular songs of their choice. and have fun as they do so. This will improve cognitive skills and prevent social exclusion in seniors.,Singapore Association For Continuing Education,300,0,Part Time,3-5 days,15,,,,2019
88,Bachelor of Science with Honours in Nursing,https://www.singaporetech.edu.sg/,Singapore Institute Of Technology,71400,0,Full Time,3-12 months,1200,,,,2019
89,Bachelor of Science with Honours in Diagnostic Radiography,https://www.singaporetech.edu.sg/,Singapore Institute Of Technology,136920,0,Full Time,More than 1 year,2400,,,,2019
90,Bachelor of Science with Honours in Dietetics and Nutrition,https://www.singaporetech.edu.sg/,Singapore Institute Of Technology,136920,0,Full Time,More than 1 year,2400,,,,2019
91,Bachelor of Science with Honours in Occupational Therapy,https://www.singaporetech.edu.sg/,Singapore Institute Of Technology,136920,0,Full Time,More than 1 year,2400,,,,2019
92,Bachelor of Science with Honours in Radiation Therapy,https://www.singaporetech.edu.sg/,Singapore Institute Of Technology,136920,0,Full Time,More than 1 year,2400,,,,2019
93,SkillsFuture@PA TCM Gua Sha (Stage 2),Learn the intermediate skills of TCM Gua Sha and massage techniques.,Changi Simei Community Club,140,0,Part Time,1-2 days,10,30,4,4,2019
94,Basic Cardiac Life Support (BCLS) + AED,"To equip participants with the skills and knowledge of performing cardiopulmonary resuscitation (CPR) on adult and infant, which also include the use of AED",Emergencies First Aid & Rescue Pte. Ltd.,150,75,Part Time,1-2 days,7.25,404,36,4.6,2019
95,Standard First Aid + AED Course ( NROC / First Aider ),"1) Understand the essential knowledge of First Aid
2) Handle common illnesses , accidents , medical emergencies    and sports injuries with procedures.
3) Perform effective Cardiopulmonary Resuscitation (CPR) and Automated External Defibrillator (AED) for adult casualties.",N2 Hub Pte. Ltd.,200,100,Part time,3-5 days,16,704,278,4.7,2019
96,Basic Cardiac Life Support (BCLS) [in Infant / Child / Adult] + Automated External Defibrillator (+ AED),"to understand the cardiovascular system
Able to recognize unconscious casualty, alert EMS, perform CPR on adult, child and infant Competently
to recognize choking victim, apply effective first aid treatment to expel foreign object for adult, child and infant from conscious to unconscious
-Able to operate safe use of AED and confidently",1St Aid & Healthcare Pte. Ltd.,212,106,Full Time and Part Time,1-2 days,6,220,65,4.5,2020
97,NSA - Understanding the different features of food - Mandarin,The course aims to improve the quality of seniors life through healthy eating,Fei Yue Community Services,260,0,Part Time,1-2 days,12,42,14,4.4,2020
98,NSA - Principles and Fundamental Theory of TCM,To enable the participants to develop a basic understanding about the history of TCM and the clinical application of these theories.&nbsp;,Fei Yue Community Services,220,0,Part Time,1-2 days,10,31,10,4.4,2020
99,NSA - Meridian Points Tuina Module 4 - Mandarin,To ensure progression from module 3. Learners will learn more about human meridian system and acupoints and their functions. The knowledge gained from this course will help learners to gain acupressure massage insights to prevent illness.,Fei Yue Community Services,260,0,Part time,1-2 days,12,36,7,4.7,2020
100,NSA - Meridian Points Tuina Module 3 - Mandarin,To ensure progression from module 2. Learners will learn more about human meridian system and acupoints and their functions. The knowledge gained from this course will help learners to gain acupressure massage insights to prevent illness.,Fei Yue Community Services,260,0,Part Time,1-2 days,12,31,5,4,2020
101,NSA - Meridian Points Tuina Module 2 - Mandarin,To ensure progression from module 1. Learners will learn more about acupressure reflexology which they can learn to cultivate good physical wellness for themselves and their family members.,Fei Yue Community Services,260,0,Part time,1-2 days,12,34,6,4.3,2020
102,NSA - Meridian Points Tuina Module 1 - Mandarin,This program is customised with the needs of seniors who would like to learn how to do tuina for themselves and their love ones. It will also include acupressure reflexology which they can learn to cultivate good physical wellness for themselves and their family members.,Fei Yue Community Services,260,0,Part Time,1-2 days,12,34,4,4.8,2020
103,NSA - How do Scrapping & Guasha Work to Improve Our Health - Mandarin,This course focuses on the use of guasha and scrapping to improve health.,Fei Yue Community Services,260,0,Part time,1-2 days,12,,,,2020
