ID,Course Title,Course Description,Training Company,Course Fee,Course Fee after Maximum Subsidiy,Course Type,Course Duration,Course Hours,No. of Learners,No. of Learners who Rated,Ratings out of 5,Year of Course Introduced
807,Mental Wellbeing Champion at the Workplace,"Upon completion of the course, learners will understand how to build mental resilience capabilities within workplaces via peer-to-peer mental resilience support. Learners will have the knowledge and skills to apply comprehensive mental health awareness, self-care techniques, peer support, and well-being facilitation at their workplace.",Absolute Kinetics Consultancy Pte Ltd,445,222.5,Part time,3-5 days,16,10,7,3.9,2024
808,Developing a Mental Resilience Strategy for Workplaces,"Upon completion of the course, learners will build up the foundation identifying various of stress and practice appropriate, root causes of the stress and signs of burnout and learn how to formulate and strategist well-being plan for team or organisation",Absolute Kinetics Consultancy Pte Ltd,280,140,Part time,1-2 days,8,,,,2024
809,Enhancing Wellness and Resilience: Strategies for Personal Empowerment,"Upon completion of the course, learners will build up the foundation identifying various of stress and the causes of it. Learners will go exercise emotional and practical support with the organisation, identifying one’s strength and weakness to develop coping strategies and handle stress situation, further re-frame negative experience as a good learning lesson for self-improvement.",Absolute Kinetics Consultancy Pte Ltd,235,117.5,Full Time and Part Time,1-2 days,8,,,,2024
810,Mastering Your Mental Compass: A guide to Self-Awareness and Growth,"Upon completion of the course, learners will understand how to recognise personal strengths and weaknesses for growth mindset and basic mindfulness and self-awareness. Learners will have the knowledge and skills to do self-assessment and self-monitoring, they will also recognise one’s limitations and boundaries so as to seek professional help when needed.",Absolute Kinetics Consultancy Pte Ltd,250,125,Part Time,1-2 days,8,,,,2024
811,Standard First Aid with CPR AED,The Standard First Aid with CPR and AED Certification Course&nbsp;is a comprehensive training programme that covers critical aspects of first aid. It is designed to equip learners with in-depth knowledge and skills in rendering appropriate first aid treatment.,Academy Of Sports And Exercise Science Pte. Ltd.,160,0,Full Time,3-5 days,16,9,5,4.8,2024
812,STANDARD FIRST AID PROVIDER CERTIFICATION (BLENDED LEARNING),"Upon completing this course, learners will have the knowledge and application skills to make Identify, assess and manage immediate hazards to the health and safety of self and others and provide first aid assistance, Cardiopulmonary Resuscitation (CPR) and Automated External Defibrillator (AED) in accordance with established first aid principles and procedures. Increase awareness of possible accidents, identify accidents with casualties and optimize health and performance at the workplace",Aetos Training Academy Pte. Ltd.,320,160,Part time,3-5 days,16,1655,1610,4.8,2024
813,BCLS+AED PROVIDER CERTIFICATION (Asynchronous E-learning and Classroom),"Upon completing this course, learners will have the knowledge and application skills to recognise critical signs of emergencies, activate emergency medical services, manage patients requiring emergency care, and provide immediate basic cardiac life support. Abilities in performing Cardiopulmonary Resuscitation (CPR) and skills in using Automated External Defibrillator (AED) in accordance with established first aid principles and procedures. Increase awareness of identifying casualties with cardiac arrest and optimize health and performance at the workplace.",Aetos Training Academy Pte. Ltd.,238,119,Full Time and Part Time,1-2 days,8,1377,1256,4.8,2024
814,Dementia Care at Home,"•	To gain an introductory awareness to dementia, learn the signs and symptoms of dementia and basic concepts of how to care for a person with dementia. 
•	To gain basic understanding and general knowledge of the emotional and behavioural changes of a person with dementia at different stages of dementia and how to manage these behaviours.",Anglo Nurses Pte. Ltd.,200,0,Part time,1-2 days,4,,,,2024
815,ABCs of Caregiving Set A,To provide family caregivers and foreign domestic workers with the basic knowledge and skills in assisting a frail elderly or individual who can get around on his or her own or with walking aids in his or her activities of daily living.,Anglo Nurses Pte. Ltd.,200,0,Full Time and Part Time,1-2 days,4,,,,2024
816,ABCs of Caregiving Set B,To provide family caregivers and foreign domestic workers with the basic knowledge and skills in assisting a frail elderly or individual who is bedbound in his or her activities of daily living.,Anglo Nurses Pte. Ltd.,200,0,Full Time and Part Time,1-2 days,4,,,,2024
817,ABCs of Caregiving Set C,To provide family caregivers and foreign domestic workers with the basic knowledge and skills in assisting a frail elderly or individual who uses a wheelchair in his or her activities of daily living.,Anglo Nurses Pte. Ltd.,200,0,Full Time and Part Time,1-2 days,4,,,,2024
